Row, Site, Dept, Chassis, Slot, PortGroup, PortIdx, Connection, Name, Status, Firmware, OwnershipState, OwnerHostname, OwnerUserId, OwnerTimestamp, Notes, Last Scan
100, CHN, TBD, 10.61.37.10, 9, 2, 4,TBD, PhysicalPortGroup 2194, UP, 3.60.2600, OWNERSHIP_STATE_RESERVED, PV-EL3, ELiu, Mon Oct 25 11:36:24 2010,None,2010-10-26 04:52:00
101, CHN, TBD, 10.61.37.10, 10, 1, 1,TBD, PhysicalPortGroup 2191, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
102, CHN, TBD, 10.61.37.10, 10, 1, 2,TBD, PhysicalPortGroup 2191, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
103, CHN, TBD, 10.61.37.10, 10, 2, 3,TBD, PhysicalPortGroup 2192, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
104, CHN, TBD, 10.61.37.10, 10, 2, 4,TBD, PhysicalPortGroup 2192, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
105, CHN, TBD, 10.61.37.10, 11, 1, 1,TBD, PhysicalPortGroup 57860, UNKNOWN, 3.60.1250, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-09-10 10:05:00
106, CHN, TBD, 10.61.37.10, 11, 1, 2,TBD, PhysicalPortGroup 57860, UNKNOWN, 3.60.1250, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-09-10 10:05:00
107, CHN, TBD, 10.61.37.10, 11, 2, 3,TBD, PhysicalPortGroup 57861, UNKNOWN, 3.60.1250, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-09-10 10:05:00
108, CHN, TBD, 10.61.37.10, 11, 2, 4,TBD, PhysicalPortGroup 57861, UNKNOWN, 3.60.1250, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-09-10 10:05:00
109, CHN, TBD, 10.61.37.10, 12, 1, 1,TBD, PhysicalPortGroup 57858, UNKNOWN, 3.60.1250, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-09-10 10:05:00
110, CHN, TBD, 10.61.37.10, 12, 1, 2,TBD, PhysicalPortGroup 57858, UNKNOWN, 3.60.1250, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-09-10 10:05:00
111, CHN, TBD, 10.61.37.10, 12, 2, 3,TBD, PhysicalPortGroup 57859, UNKNOWN, 3.60.1250, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-09-10 10:05:00
112, CHN, TBD, 10.61.37.10, 12, 2, 4,TBD, PhysicalPortGroup 57859, UNKNOWN, 3.60.1250, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-09-10 10:05:00
113, CHN, TBD, 10.61.37.2, 1, 1, 1,TBD, PhysicalPortGroup 2285, UNKNOWN, 3.421.0283, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-22 10:43:00
114, CHN, TBD, 10.61.37.2, 1, 2, 2,TBD, PhysicalPortGroup 2286, UNKNOWN, 3.421.0283, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-22 10:43:00
115, CHN, TBD, 10.61.37.2, 1, 3, 3,TBD, PhysicalPortGroup 2287, UNKNOWN, 3.421.0283, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-22 10:43:00
116, CHN, TBD, 10.61.37.2, 1, 4, 4,TBD, PhysicalPortGroup 2288, UNKNOWN, 3.421.0283, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-22 10:43:00
117, CHN, TBD, 10.61.37.2, 1, 3, 5,TBD, PhysicalPortGroup 446258, UNKNOWN, 3.55.3016, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-09-24 11:27:00
118, CHN, TBD, 10.61.37.2, 1, 3, 6,TBD, PhysicalPortGroup 446258, UNKNOWN, 3.55.3016, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-09-24 11:27:00
119, CHN, TBD, 10.61.37.2, 1, 4, 7,TBD, PhysicalPortGroup 446259, UNKNOWN, 3.55.3016, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-09-24 11:27:00
120, CHN, TBD, 10.61.37.2, 1, 4, 8,TBD, PhysicalPortGroup 446259, UNKNOWN, 3.55.3016, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-09-24 11:27:00
121, CHN, TBD, 10.61.37.2, 2, 1, 1,TBD, PhysicalPortGroup 2237, UP, 3.55.3576, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
122, CHN, TBD, 10.61.37.2, 2, 1, 2,TBD, PhysicalPortGroup 2237, UP, 3.55.3576, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
